userId,stockCode,arrivalOffsetMs,syntheticUserLabel
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,035420,0,synthetic-user-0001
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,035420,0,synthetic-user-0012
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,005930,0,synthetic-user-0190
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,051910,0,synthetic-user-0108
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,035420,0,synthetic-user-0069
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,035420,0,synthetic-user-0294
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,005930,0,synthetic-user-0002
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,035420,0,synthetic-user-0012
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,051910,0,synthetic-user-0078
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,000660,0,synthetic-user-0125
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,035420,0,synthetic-user-0118
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,051910,0,synthetic-user-0181
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,035420,0,synthetic-user-0150
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,035420,0,synthetic-user-0003
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,005930,0,synthetic-user-0309
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,051910,0,synthetic-user-0055
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,035720,0,synthetic-user-0065
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,005930,0,synthetic-user-0341
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,005930,0,synthetic-user-0155
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,005930,0,synthetic-user-0030
e7bfaf56-5ff0-4bb6-a6fe-14575ef18e5e,035720,0,synthetic-user-0098
